FID,ID_RAGIONE,RAGIONE_SO,INDIRIZZO_,ID_STRUTTU,DENOMINAZI,SITOWEB,NUMERO_STA,NUMERO_LET,SUB_COD_VI,CIVICO,LETTERA,ZONA_IDS,PERCENTUAL,TIPO_STRUT,TIPOLOGIA_,NUM_STELLE,TIPO,CLASSIFICA,INDIRIZZO,CODICE_VIA,SUB_CODICE,COD_ISOLAT,COD_LOCALI,COD_QUARTI,COD_MUNICI,COD_ZONA,TELEFONO,ESRI_OID,x,y
4912,1014585,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1014587,DOMUS G.B. GIUSTINIAN,PUBBLICAZIONE DATO NON AUTORIZZATA,15,25,15610,326,A,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,CASE PER VACANZA,2,L,2 LEONI,"SANTA CROCE,326/A",15610,77100,270420998,0270425014,2,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,9555,12.317911911278,45.4360620109675
258,1005512,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,8354,ARTISTI 4,PUBBLICAZIONE DATO NON AUTORIZZATA,2,5,2780,99,B,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,ALLOGGI TURISTICI,2,L,2 LEONI,"CANNAREGIO,99/B",2780,55690,270420465,0270425009,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,1606,12.3211957007411,45.4424588484224
1592,1005158,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,3483,CA' DE LA TESTA,PUBBLICAZIONE DATO NON AUTORIZZATA,1,2,2780,6232,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,UNITA' ABITATIVE AMMOBILIATE AD USO TURISTICO,2,L,2 LEONI,"CANNAREGIO,6232",2780,57310,270420743,0270425009,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,1180,12.3410255343555,45.4405460531659
264,1005633,HS HOTELS,hotel_arielsilva@hotmail.com,9362,CANNAREGIO II,PUBBLICAZIONE DATO NON AUTORIZZATA,2,6,2780,3143,N,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,UNITA' ABITATIVE AMMOBILIATE AD USO TURISTICO,3,L,3 LEONI,"CANNAREGIO,3143/N",2780,52690,270420536,0270425009,1,1,1,041714773,1616,12.3262035530342,45.4473757440282
281,1008629,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1017505,B&B CA' MADDALENA,PUBBLICAZIONE DATO NON AUTORIZZATA,3,8,2780,5503,A,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,BED and BREAKFAST,2,L,2 LEONI,"CANNAREGIO,5503/A",2780,50310,270420719,0270425009,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,1644,12.339322380963,45.4407365179308
1615,1005267,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,2270,CASA D'ORO,PUBBLICAZIONE DATO NON AUTORIZZATA,2,3,2780,4148,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,UNITA' ABITATIVE AMMOBILIATE AD USO TURISTICO,2,L,2 LEONI,"CANNAREGIO,4148",2780,55500,270420690,0270425009,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,2544,12.3364999880549,45.4422578992485
4294,1004921,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1355,LUXURY APARTMENT CANAL GRANDE 1,PUBBLICAZIONE DATO NON AUTORIZZATA,1,6,15610,940,A,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,UNITA' ABITATIVE AMMOBILIATE AD USO TURISTICO,2,L,2 LEONI,"SANTA CROCE,940/A",15610,77510,270420963,0270425014,2,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,6717,12.3241790877942,45.4410951035528
381,1005820,HONEY ROOMS DI ANNA ORVIETO,info@locandadelghetto.net,11949,LOCANDA DEL GHETTO,PUBBLICAZIONE DATO NON AUTORIZZATA,6,17,2780,2892,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,ALLOGGI TURISTICI,4,L,4 LEONI,"CANNAREGIO,2892",2780,53040,270420512,0270425009,1,1,1,3485570000,1801,12.3266404274135,45.4453457146893
876,1005521,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,6792,LA LOCANDIERA,PUBBLICAZIONE DATO NON AUTORIZZATA,6,15,3190,4432,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,ALLOGGI TURISTICI,4,L,4 LEONI,"CASTELLO,4432",3190,36310,270420254,0270425002,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,76,12.341334842809,45.4357965885834
1540,1005253,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,165,CA' GOTTARDI 1,PUBBLICAZIONE DATO NON AUTORIZZATA,4,8,2780,2283,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,ALLOGGI TURISTICI,2,L,2 LEONI,"CANNAREGIO,2283",2780,56580,270420598,0270425009,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,1086,12.3325936510858,45.4421797933849
753,1005206,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,727,RED ROSE DRIM,PUBBLICAZIONE DATO NON AUTORIZZATA,3,5,15610,1382,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,UNITA' ABITATIVE AMMOBILIATE AD USO TURISTICO,3,L,3 LEONI,"SANTA CROCE,1382",15610,75750,270420941,0270425014,2,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,2428,12.3270341977362,45.4406398434231
1168,1004867,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1079,C  TINTORETTO,PUBBLICAZIONE DATO NON AUTORIZZATA,4,7,2780,2221,A,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,ALLOGGI TURISTICI,3,L,3 LEONI,"CANNAREGIO,2221/A",2780,51940,270420604,0270425009,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,446,12.3318793525792,45.4428413177672
4749,1000649,CHESSA SILVIA,cadalisera@libero.it,2540,CA' DALISERA BED AND BREKFAST,PUBBLICAZIONE DATO NON AUTORIZZATA,2,4,16000,1386,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,BED and BREAKFAST,3,L,3 LEONI,"SAN MARCO,1386",16000,43970,270420022,0270425001,1,1,1,0415226694,9467,12.3364916149682,45.4328481451009
1062,1008490,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1009266,CONDOMINIO VIA CALMO,PUBBLICAZIONE DATO NON AUTORIZZATA,12,18,2540,16,_,"ISOLE DELLA LAGUNA (ESCLUSO CENTRO STORICO, GIUDECCA, ISOLE DEDICATE IN VIA PRINCIPALE ALLA FUNZIONE RICETTIVA E ALBERGHI A 5 STELLE)",20,STRUTTURE RICETTIVE COMPLEMENTARI,UNITA' ABITATIVE AMMOBILIATE AD USO TURISTICO,2,L,2 LEONI,"VIA ANDREA CALMO,16",2540,2540,270421350,0270425048,3,2,2,PUBBLICAZIONE DATO NON AUTORIZZATA,262,12.363599346246,45.4026999897077
4062,1005349,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,3161,LA RESIDENZA 818,PUBBLICAZIONE DATO NON AUTORIZZATA,6,12,7070,818,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,ALLOGGI TURISTICI,3,L,3 LEONI,"DORSODURO,818",7070,61810,270421118,0270425016,2,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,9817,12.3285622016144,45.4293571299389
4987,1005697,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,2115,CASA DEI PITTORI CA' TIZIANO,PUBBLICAZIONE DATO NON AUTORIZZATA,2,3,15610,1032,A,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,UNITA' ABITATIVE AMMOBILIATE AD USO TURISTICO,2,L,2 LEONI,"SANTA CROCE,1032/A",15610,76990,270420955,0270425014,2,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,9169,12.327084470294,45.4392213689606
4655,1005226,LAGUNA BLU DI ZANE MARCO,eddy@studiobattaglierin.it,2164,LAGUNA BLU',PUBBLICAZIONE DATO NON AUTORIZZATA,5,10,16100,379,_,"ISOLE DELLA LAGUNA (ESCLUSO CENTRO STORICO, GIUDECCA, ISOLE DEDICATE IN VIA PRINCIPALE ALLA FUNZIONE RICETTIVA E ALBERGHI A 5 STELLE)",20,STRUTTURE RICETTIVE COMPLEMENTARI,ALLOGGI TURISTICI,3,L,3 LEONI,"SAN MARTINO DESTRA (BURANO),379",16100,4617,270421642,0270425032,6,1,2,041730650,9417,12.4178077737615,45.4857886499751
1901,1003605,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1277,BED AND BREAKFAST CA' TORCELLO,PUBBLICAZIONE DATO NON AUTORIZZATA,2,4,18010,9,_,"ISOLE DELLA LAGUNA (ESCLUSO CENTRO STORICO, GIUDECCA, ISOLE DEDICATE IN VIA PRINCIPALE ALLA FUNZIONE RICETTIVA E ALBERGHI A 5 STELLE)",20,STRUTTURE RICETTIVE COMPLEMENTARI,BED and BREAKFAST,2,L,2 LEONI,"ISOLA TORCELLO,9",18010,18010,270421661,0270425040,6,1,2,PUBBLICAZIONE DATO NON AUTORIZZATA,2998,12.4164125193301,45.4970582490853
1360,1005582,CA' DEL CINEMA DI NOGHERA LEONARDO,info@cadelcinema.com,8314,CA' DEL CINEMA,PUBBLICAZIONE DATO NON AUTORIZZATA,3,6,3190,2954,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,BED and BREAKFAST,2,L,2 LEONI,"CASTELLO,2954",3190,33870,270420298,0270425002,1,1,1,0415285312,787,12.3474169621409,45.4373477404614
4503,1005204,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,275,AL BAILO DI VENEZIA,PUBBLICAZIONE DATO NON AUTORIZZATA,8,18,3190,5056,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,UNITA' ABITATIVE AMMOBILIATE AD USO TURISTICO,2,L,2 LEONI,"CASTELLO,5056",3190,36420,270420236,0270425002,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,8919,12.3442167569366,45.4370844106704
2488,1005309,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,2549,AQUA B,PUBBLICAZIONE DATO NON AUTORIZZATA,3,8,3190,5504,A,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,BED and BREAKFAST,3,L,3 LEONI,"CASTELLO,5504/A",3190,33150,270420172,0270425002,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,6160,12.3384255224711,45.4367843894213
3467,1005168,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,3698,COCAL,PUBBLICAZIONE DATO NON AUTORIZZATA,4,5,3190,790,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,UNITA' ABITATIVE AMMOBILIATE AD USO TURISTICO,2,L,2 LEONI,"CASTELLO,790",3190,34430,270420392,0270425002,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,4321,12.3582722354969,45.4302571252058
467,1002905,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1681,LA SENSA B&B,PUBBLICAZIONE DATO NON AUTORIZZATA,2,4,2780,3365,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,BED and BREAKFAST,2,L,2 LEONI,"CANNAREGIO,3365",2780,54460,270420562,0270425009,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,1954,12.3318250320678,45.4454827158615
3567,1017417,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1017422,CARMEN GARDEN,PUBBLICAZIONE DATO NON AUTORIZZATA,3,5,16100,481,_,"ISOLE DELLA LAGUNA (ESCLUSO CENTRO STORICO, GIUDECCA, ISOLE DEDICATE IN VIA PRINCIPALE ALLA FUNZIONE RICETTIVA E ALBERGHI A 5 STELLE)",20,STRUTTURE RICETTIVE COMPLEMENTARI,BED and BREAKFAST,3,L,3 LEONI,"SAN MARTINO DESTRA (BURANO),481",16100,14457,270421642,0270425032,6,1,2,PUBBLICAZIONE DATO NON AUTORIZZATA,4500,12.4180105420066,45.4862767078033
2436,1016347,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1016355,RIALTO 1082,PUBBLICAZIONE DATO NON AUTORIZZATA,2,2,16210,1082,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,UNITA' ABITATIVE AMMOBILIATE AD USO TURISTICO,2,L,2 LEONI,"SAN POLO,1082",16210,71660,270420826,0270425013,2,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,6080,12.3327101620408,45.4375810419036
1672,1000499,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1962,TRA MARE E LAGUNA,PUBBLICAZIONE DATO NON AUTORIZZATA,1,2,12900,2,_,"ISOLE DELLA LAGUNA (ESCLUSO CENTRO STORICO, GIUDECCA, ISOLE DEDICATE IN VIA PRINCIPALE ALLA FUNZIONE RICETTIVA E ALBERGHI A 5 STELLE)",20,STRUTTURE RICETTIVE COMPLEMENTARI,BED and BREAKFAST,3,L,3 LEONI,"VIA PIETRO ORSEOLO SECONDO,2",12900,12900,270421262,0270425048,3,2,2,PUBBLICAZIONE DATO NON AUTORIZZATA,2636,12.3740338077537,45.4190364577946
4755,1005150,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,4708,LAGOON SUITES APPARTAMENTO 3,PUBBLICAZIONE DATO NON AUTORIZZATA,2,4,12470,77,_,"ISOLE DELLA LAGUNA (ESCLUSO CENTRO STORICO, GIUDECCA, ISOLE DEDICATE IN VIA PRINCIPALE ALLA FUNZIONE RICETTIVA E ALBERGHI A 5 STELLE)",20,STRUTTURE RICETTIVE COMPLEMENTARI,UNITA' ABITATIVE AMMOBILIATE AD USO TURISTICO,4,L,4 LEONI,"FONDAMENTA ANDREA NAVAGERO,77",12470,12470,270421581,0270425025,5,1,2,PUBBLICAZIONE DATO NON AUTORIZZATA,9470,12.3571835805422,45.4541002382369
3830,1006148,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1009274,CA' DEL POETA,PUBBLICAZIONE DATO NON AUTORIZZATA,3,6,2780,3710,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,BED and BREAKFAST,3,L,3 LEONI,"CANNAREGIO,3710",2780,57265,270420617,0270425009,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,5700,12.3339734693433,45.4421057684282
2668,1005093,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1009418,SPECCHIERI 2,PUBBLICAZIONE DATO NON AUTORIZZATA,4,7,16000,489,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,ALLOGGI TURISTICI,3,L,3 LEONI,"SAN MARCO,489",16000,45500,270420010,0270425001,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,6340,12.3389940712937,45.4359031426843
2691,1005336,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,2982,VILLA INES,PUBBLICAZIONE DATO NON AUTORIZZATA,3,6,11370,10,_,"ISOLE DELLA LAGUNA (ESCLUSO CENTRO STORICO, GIUDECCA, ISOLE DEDICATE IN VIA PRINCIPALE ALLA FUNZIONE RICETTIVA E ALBERGHI A 5 STELLE)",20,STRUTTURE RICETTIVE COMPLEMENTARI,BED and BREAKFAST,4,L,4 LEONI,"VIA LAZZARO MOCENIGO,10",11370,11370,270421308,0270425048,3,2,2,PUBBLICAZIONE DATO NON AUTORIZZATA,6363,12.370893670626,45.4134932440556
129,1004695,E.A.S.T SRL,info@hotelalnuovoteson.com,1086,RESIDENZA ALLA RIVA,PUBBLICAZIONE DATO NON AUTORIZZATA,6,12,3190,3979,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,ALLOGGI TURISTICI,2,L,2 LEONI,"CASTELLO,3979",3190,34750,270420270,0270425002,1,1,1,0415205555,1401,12.3475554449704,45.4339907319097
4397,1005174,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,618,CA' DELLA CORTE SUITE,PUBBLICAZIONE DATO NON AUTORIZZATA,3,8,7070,3545,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,BED and BREAKFAST,4,L,4 LEONI,"DORSODURO,3545",7070,62520,270421047,0270425016,2,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,6874,12.3219805936908,45.436607995668
3856,1002698,AMATO ALDO,info@lionofveniceapartments.com,53,CA' RIO MARIN,PUBBLICAZIONE DATO NON AUTORIZZATA,4,4,15610,877,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,UNITA' ABITATIVE AMMOBILIATE AD USO TURISTICO,3,L,3 LEONI,"SANTA CROCE,877",15610,76630,270420949,0270425014,2,1,1,3408333327,5744,12.3252212228195,45.4395145063839
2860,1005038,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,2769,PALAZZETTO SAN LIO BALDACCHINO,PUBBLICAZIONE DATO NON AUTORIZZATA,2,1,3190,5715,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,UNITA' ABITATIVE AMMOBILIATE AD USO TURISTICO,3,L,3 LEONI,"CASTELLO,5715",3190,32660,270420195,0270425002,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,3260,12.3395987295906,45.4376442497767
2405,1013213,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1013219,CASA MORO 3,PUBBLICAZIONE DATO NON AUTORIZZATA,6,12,16000,2331,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,ALLOGGI TURISTICI,2,L,2 LEONI,"SAN MARCO,2331",16000,43001,270420040,0270425001,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,6027,12.3338469914194,45.4322966928059
4663,1005409,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1017036,APPARTAMENTO VENEZIANO,PUBBLICAZIONE DATO NON AUTORIZZATA,1,4,16000,3657,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,UNITA' ABITATIVE AMMOBILIATE AD USO TURISTICO,2,L,2 LEONI,"SAN MARCO,3657",16000,40270,270420109,0270425001,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,9017,12.3330490963389,45.4347130270118
1978,1005118,PUBBLICAZIONE DATO NON AUTORIZZATA,info@legarzette.it,1908,LE GARZETTE - COUNTRY HOUSE,PUBBLICAZIONE DATO NON AUTORIZZATA,5,9,160,32,_,"ISOLE DELLA LAGUNA (ESCLUSO CENTRO STORICO, GIUDECCA, ISOLE DEDICATE IN VIA PRINCIPALE ALLA FUNZIONE RICETTIVA E ALBERGHI A 5 STELLE)",20,STRUTTURE RICETTIVE COMPLEMENTARI,ALLOGGI TURISTICI,2,L,2 LEONI,"VIA ALBERONI,32",160,160,270421440,0270425050,3,2,2,PUBBLICAZIONE DATO NON AUTORIZZATA,3129,12.3338540015388,45.3618076501344
2176,1013622,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1013630,ANTICA RAFFINERIA 2,PUBBLICAZIONE DATO NON AUTORIZZATA,3,8,2780,2607,A,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,ALLOGGI TURISTICI,2,L,2 LEONI,"CANNAREGIO,2607/A",2780,55820,270420568,0270425009,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,4881,12.3305818945403,45.4453751180482
1927,1012444,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1013527,TAVERNA SAN LIO,PUBBLICAZIONE DATO NON AUTORIZZATA,0,0,3190,5546,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,ALLOGGI TURISTICI,3,L,3 LEONI,"CASTELLO,5546",3190,36370,270420173,0270425002,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,3045,12.3387791555179,45.4373864289746
1915,1005470,VEGA SCHIAVONI S.A.S. DI TEGON MARTINA & C.,info@palazzoschiavoni.com,4988,PALAZZO SCHIAVONI SUITE-APARTMENTS,PUBBLICAZIONE DATO NON AUTORIZZATA,10,20,3190,3288,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,UNITA' ABITATIVE AMMOBILIATE AD USO TURISTICO,2,L,2 LEONI,"CASTELLO,3288",3190,32740,270420276,0270425002,1,1,1,0412411275,3025,12.3459737055645,45.4360871529813
4240,1004631,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,2931,STARFISH 1,PUBBLICAZIONE DATO NON AUTORIZZATA,6,4,8750,801,A,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,UNITA' ABITATIVE AMMOBILIATE AD USO TURISTICO,3,L,3 LEONI,"GIUDECCA (VENEZIA),801/A",8750,65030,270421185,0270425020,2,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,6575,12.3210033615204,45.4277052296885
2070,1005776,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,3328,G HOUSE,PUBBLICAZIONE DATO NON AUTORIZZATA,3,4,16000,3226,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,UNITA' ABITATIVE AMMOBILIATE AD USO TURISTICO,4,L,4 LEONI,"SAN MARCO,3226",16000,41030,270420072,0270425001,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,4687,12.3284616658162,45.4337994158469
2319,1005034,ARCAZA S.N.C. DI FERRARI A. E BALDAN V.,info@alpontemocenigo.com,1870,AL PICCOLO MOCENIGO 2,PUBBLICAZIONE DATO NON AUTORIZZATA,4,10,15610,1988,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,ALLOGGI TURISTICI,3,L,3 LEONI,"SANTA CROCE,1988",15610,77560,270420909,0270425014,2,1,1,0415244797,5148,12.3300967694898,45.4410054600647
3893,1002529,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1986,ALLA VERA DA POZZO,PUBBLICAZIONE DATO NON AUTORIZZATA,1,2,2780,96,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,BED and BREAKFAST,2,L,2 LEONI,"CANNAREGIO,96",2780,55690,270420462,0270425009,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,5820,12.3201550646862,45.4429825567625
2356,1011879,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1012031,CA DEL NOBILE,PUBBLICAZIONE DATO NON AUTORIZZATA,6,12,16000,987,A,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,ALLOGGI TURISTICI,2,L,2 LEONI,"SAN MARCO,987/A",16000,41270,270420155,0270425001,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,5214,12.3371513575748,45.4352638229894
2997,1004650,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,168,ISTITUTO SAN GIUSEPPE,PUBBLICAZIONE DATO NON AUTORIZZATA,14,26,3190,5402,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,CASE PER VACANZA,3,L,3 LEONI,"CASTELLO,5402",3190,33050,270420202,0270425002,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,3500,12.3391913526193,45.436424694968
4675,1001082,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1984,RESIDENZA DEGLI ANGELI,PUBBLICAZIONE DATO NON AUTORIZZATA,3,7,15610,2325,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,BED and BREAKFAST,2,L,2 LEONI,"SANTA CROCE,2325",15610,75350,270420893,0270425014,2,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,9021,12.3308528864912,45.4392347297583
3885,1005481,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,7456,B&B TIEPOLO,PUBBLICAZIONE DATO NON AUTORIZZATA,3,10,2780,1082,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,BED and BREAKFAST,3,L,3 LEONI,"CANNAREGIO,1082",2780,51030,270420475,0270425009,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,5801,12.3239300917683,45.4446467109598
149,1005043,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1157,CANAL REGIO 1,PUBBLICAZIONE DATO NON AUTORIZZATA,5,10,2780,3632,A,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,ALLOGGI TURISTICI,2,L,2 LEONI,"CANNAREGIO,3632/A",2780,52610,270420614,0270425009,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,1432,12.3334265587792,45.4423050429704
2775,1004846,MA.CE. SOCIETA' COOPERATIVA SOCIALE DI SOLIDARIETA',info@casasantandrea.it,1290,CASA SANT'ANDREA,PUBBLICAZIONE DATO NON AUTORIZZATA,28,35,15610,495,B,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,CASE PER VACANZA,3,L,3 LEONI,"SANTA CROCE,495/B",15610,77630,270420988,0270425014,2,1,1,0412770945,6447,12.3168218142086,45.4393980657482
2514,1005126,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1802,SAMUELE,PUBBLICAZIONE DATO NON AUTORIZZATA,2,4,16000,3221,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,UNITA' ABITATIVE AMMOBILIATE AD USO TURISTICO,3,L,3 LEONI,"SAN MARCO,3221",16000,41030,270420072,0270425001,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,6186,12.3287467815144,45.4338955019789
