FID,ID_RAGIONE,RAGIONE_SO,INDIRIZZO_,ID_STRUTTU,DENOMINAZI,SITOWEB,NUMERO_STA,NUMERO_LET,SUB_COD_VI,CIVICO,LETTERA,ZONA_IDS,PERCENTUAL,TIPO_STRUT,TIPOLOGIA_,NUM_STELLE,TIPO,CLASSIFICA,INDIRIZZO,CODICE_VIA,SUB_CODICE,COD_ISOLAT,COD_LOCALI,COD_QUARTI,COD_MUNICI,COD_ZONA,TELEFONO,ESRI_OID,x,y
4280,1005814,EXPERIMENTAL ADRIATICA SRL,info@palazzoexperimental.com,11603,IL PALAZZO EXPERIMENTAL,PUBBLICAZIONE DATO NON AUTORIZZATA,32,62,7070,1411,_,CENTRO STORICO,0,STRUTTURE RICETTIVE ALBERGHIERE,ALBERGHI-ALBERGHI DIFFUSI,4,S,4 STELLE SUPERIOR,"DORSODURO,1411",7070,66900,270421090,0270425016,2,1,1,0410980200,6703,12.3230426756921,45.4303738506144
3083,1004763,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1009163,HOTEL CANEVA,PUBBLICAZIONE DATO NON AUTORIZZATA,23,44,3190,5515,_,CENTRO STORICO,0,STRUTTURE RICETTIVE ALBERGHIERE,ALBERGHI-ALBERGHI DIFFUSI,1,S,1 STELLA,"CASTELLO,5515",3190,35760,270420172,0270425002,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,3648,12.3380029657615,45.4367280208464
4031,1004652,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,3699,HOTEL CITTA' DI MILANO,PUBBLICAZIONE DATO NON AUTORIZZATA,22,40,16000,590,_,CENTRO STORICO,0,STRUTTURE RICETTIVE ALBERGHIERE,ALBERGHI-ALBERGHI DIFFUSI,3,S,3 STELLE,"SAN MARCO,590",16000,42510,270420149,0270425001,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,9786,12.3381904678946,45.4360342666524
4434,1005137,FALC-INN SRL,info@aquapalace.it,1039,HOTEL AQUA PALACE,PUBBLICAZIONE DATO NON AUTORIZZATA,24,53,3190,5492,A,CENTRO STORICO,0,STRUTTURE RICETTIVE ALBERGHIERE,ALBERGHI-ALBERGHI DIFFUSI,4,S,4 STELLE,"CASTELLO,5492/A",3190,33400,270420172,0270425002,1,1,1,0412960442,6942,12.3386500741556,45.4366163066352
3601,1004970,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1254,IL MERCANTE DI VENEZIA,PUBBLICAZIONE DATO NON AUTORIZZATA,15,25,2780,379,_,CENTRO STORICO,0,STRUTTURE RICETTIVE ALBERGHIERE,ALBERGHI-ALBERGHI DIFFUSI,3,S,3 STELLE,"CANNAREGIO,379",2780,54280,270420465,0270425009,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,5295,12.3225350097408,45.4425859710643
3799,1004858,PUBBLICAZIONE DATO NON AUTORIZZATA,info@venicehoteladriatico.com,1912,ADRIATICO,PUBBLICAZIONE DATO NON AUTORIZZATA,12,23,2780,224,_,CENTRO STORICO,0,STRUTTURE RICETTIVE ALBERGHIERE,ALBERGHI-ALBERGHI DIFFUSI,2,S,2 STELLE,"CANNAREGIO,224",2780,53430,270420468,0270425009,1,1,1,041715176,5647,12.3241214943247,45.4425953958142
3776,1005521,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,6791,HOTEL CASA VERARDO RESIDENZA D'EPOCA,PUBBLICAZIONE DATO NON AUTORIZZATA,22,46,3190,4765,_,CENTRO STORICO,0,STRUTTURE RICETTIVE ALBERGHIERE,ALBERGHI-ALBERGHI DIFFUSI,3,S,3 STELLE SUPERIOR,"CASTELLO,4765",3190,37320,270420244,0270425002,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,5607,12.3418727700864,45.4359299953098
2333,1004976,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1017326,HOTEL VILLA MABAPA,PUBBLICAZIONE DATO NON AUTORIZZATA,63,118,16180,16,_,"ISOLE DELLA LAGUNA (ESCLUSO CENTRO STORICO, GIUDECCA, ISOLE DEDICATE IN VIA PRINCIPALE ALLA FUNZIONE RICETTIVA E ALBERGHI A 5 STELLE)",20,STRUTTURE RICETTIVE ALBERGHIERE,ALBERGHI-ALBERGHI DIFFUSI,4,S,4 STELLE,"RIVIERA SAN NICOLO',16",16180,16180,270421255,0270425048,3,2,2,PUBBLICAZIONE DATO NON AUTORIZZATA,5169,12.3770430168322,45.4230346655065
1005,1005378,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,3359,HOTEL AI CAVALIERI,PUBBLICAZIONE DATO NON AUTORIZZATA,32,61,3190,6108,_,CENTRO STORICO,0,STRUTTURE RICETTIVE ALBERGHIERE,ALBERGHI-ALBERGHI DIFFUSI,4,S,4 STELLE,"CASTELLO,6108",3190,30500,270420193,0270425002,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,205,12.3399997767528,45.4382438675902
3862,1004683,HOTEL KETTE SRL,info@hotelkette.com,648,HOTEL KETTE,PUBBLICAZIONE DATO NON AUTORIZZATA,63,132,16000,2053,_,CENTRO STORICO,0,STRUTTURE RICETTIVE ALBERGHIERE,ALBERGHI-ALBERGHI DIFFUSI,4,S,4 STELLE,"SAN MARCO,2053",16000,44390,270420028,0270425001,1,1,1,0415207766,5756,12.3345674131674,45.4333166958489
1649,1008327,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1009170,HOTEL SANT'ANNA,PUBBLICAZIONE DATO NON AUTORIZZATA,8,13,3190,269,_,CENTRO STORICO,0,STRUTTURE RICETTIVE ALBERGHIERE,ALBERGHI-ALBERGHI DIFFUSI,1,S,1 STELLA,"CASTELLO,269",3190,30430,270420355,0270425002,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,2597,12.3578482465754,45.4331307216355
4849,1005264,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,2677,AMAN  VENICE,PUBBLICAZIONE DATO NON AUTORIZZATA,24,48,16210,1364,_,CENTRO STORICO,0,STRUTTURE RICETTIVE ALBERGHIERE,ALBERGHI-ALBERGHI DIFFUSI,5,S,5 STELLE SUPERIOR,"SAN POLO,1364",16210,72290,270420828,0270425013,2,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,9106,12.3315507617473,45.437018811649
5038,1015484,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1016156,ALBERGO TIEPOLO,PUBBLICAZIONE DATO NON AUTORIZZATA,11,20,3190,4510,_,CENTRO STORICO,0,STRUTTURE RICETTIVE ALBERGHIERE,ALBERGHI-ALBERGHI DIFFUSI,3,S,3 STELLE,"CASTELLO,4510",3190,37240,270420249,0270425002,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,9194,12.3418630964382,45.4351501358267
4446,1004935,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1392,HOTEL TIZIANO,PUBBLICAZIONE DATO NON AUTORIZZATA,14,25,7070,1873,_,CENTRO STORICO,0,STRUTTURE RICETTIVE ALBERGHIERE,ALBERGHI-ALBERGHI DIFFUSI,3,S,3 STELLE,"DORSODURO,1873",7070,64730,270421029,0270425016,2,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,6985,12.3167119337248,45.4329142777187
4114,1005268,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,2300,CORTE DI GABRIELA,PUBBLICAZIONE DATO NON AUTORIZZATA,11,25,16000,3836,_,CENTRO STORICO,0,STRUTTURE RICETTIVE ALBERGHIERE,ALBERGHI-ALBERGHI DIFFUSI,4,S,4 STELLE,"SAN MARCO,3836",16000,40290,270420082,0270425001,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,9869,12.3317580761014,45.4349399176023
2811,1004701,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1998,RIALTO,PUBBLICAZIONE DATO NON AUTORIZZATA,79,148,16000,5149,_,CENTRO STORICO,0,STRUTTURE RICETTIVE ALBERGHIERE,ALBERGHI-ALBERGHI DIFFUSI,4,S,4 STELLE,"SAN MARCO,5149",16000,44130,270420164,0270425001,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,3185,12.3360136584445,45.437767517991
2001,1013671,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1013673,HOTEL DOMUS DEPANDANCE HOTEL BAUER,PUBBLICAZIONE DATO NON AUTORIZZATA,9,18,8750,36,_,CENTRO STORICO,0,STRUTTURE RICETTIVE ALBERGHIERE,ALBERGHI-ALBERGHI DIFFUSI,5,S,5 STELLE,"GIUDECCA (VENEZIA),36",8750,66920,270421225,0270425020,2,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,4556,12.3388540224564,45.4267325460119
1984,1005822,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1017155,SUITES DIPENDENZA,PUBBLICAZIONE DATO NON AUTORIZZATA,12,24,16430,1,_,CENTRO STORICO,0,STRUTTURE RICETTIVE ALBERGHIERE,ALBERGHI-ALBERGHI DIFFUSI,5,S,5 STELLE,"ISOLA SACCA SESSOLA,1",16430,16430,270420443,0270425006,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,3143,12.3217428820294,45.4064536035871
3281,1004818,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,474,HOTEL MARCONI,PUBBLICAZIONE DATO NON AUTORIZZATA,26,47,16210,729,_,CENTRO STORICO,0,STRUTTURE RICETTIVE ALBERGHIERE,ALBERGHI-ALBERGHI DIFFUSI,3,S,3 STELLE,"SAN POLO,729",16210,74040,270420780,0270425013,2,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,3986,12.3351177141416,45.4378344600939
304,1015980,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1016686,IL MORO DI VENEZIA,PUBBLICAZIONE DATO NON AUTORIZZATA,27,52,2780,152,_,CENTRO STORICO,0,STRUTTURE RICETTIVE ALBERGHIERE,ALBERGHI-ALBERGHI DIFFUSI,2,S,2 STELLE,"CANNAREGIO,152",2780,53430,270420468,0270425009,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,1681,12.3233308415218,45.4421217632029
2897,1005249,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,5722,HOTEL DONA' PALACE,PUBBLICAZIONE DATO NON AUTORIZZATA,26,59,16000,391,_,CENTRO STORICO,0,STRUTTURE RICETTIVE ALBERGHIERE,ALBERGHI-ALBERGHI DIFFUSI,4,S,4 STELLE,"SAN MARCO,391",16000,40130,270420008,0270425001,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,3324,12.3399879556848,45.4356192661872
596,1017195,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1017203,HOTEL MELIA VENEZIA LIDO,PUBBLICAZIONE DATO NON AUTORIZZATA,60,119,16070,4,_,"ISOLE DELLA LAGUNA (ESCLUSO CENTRO STORICO, GIUDECCA, ISOLE DEDICATE IN VIA PRINCIPALE ALLA FUNZIONE RICETTIVA E ALBERGHI A 5 STELLE)",20,STRUTTURE RICETTIVE ALBERGHIERE,ALBERGHI-ALBERGHI DIFFUSI,4,S,4 STELLE SUPERIOR,"GRANVIALE SANTA MARIA ELISABETTA,4",16070,16070,270421295,0270425048,3,2,2,PUBBLICAZIONE DATO NON AUTORIZZATA,2180,12.3690660830069,45.4167847066477
2113,1005128,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,2555,HOTEL PETIT PALAIS,PUBBLICAZIONE DATO NON AUTORIZZATA,31,61,10610,54,_,"ISOLE DELLA LAGUNA (ESCLUSO CENTRO STORICO, GIUDECCA, ISOLE DEDICATE IN VIA PRINCIPALE ALLA FUNZIONE RICETTIVA E ALBERGHI A 5 STELLE)",20,STRUTTURE RICETTIVE ALBERGHIERE,ALBERGHI-ALBERGHI DIFFUSI,4,S,4 STELLE,"LUNGOMARE GUGLIELMO MARCONI,54",10610,10610,270421366,0270425048,3,2,2,PUBBLICAZIONE DATO NON AUTORIZZATA,4766,12.3644067054293,45.4020964857655
982,1005457,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,9656,HOTEL VILLA TIZIANA,PUBBLICAZIONE DATO NON AUTORIZZATA,16,31,9110,3,_,"ISOLE DELLA LAGUNA (ESCLUSO CENTRO STORICO, GIUDECCA, ISOLE DEDICATE IN VIA PRINCIPALE ALLA FUNZIONE RICETTIVA E ALBERGHI A 5 STELLE)",20,STRUTTURE RICETTIVE ALBERGHIERE,ALBERGHI-ALBERGHI DIFFUSI,3,S,3 STELLE,"VIA ANDREA GRITTI,3",9110,9110,270421342,0270425048,3,2,2,PUBBLICAZIONE DATO NON AUTORIZZATA,182,12.3655702888727,45.4072951962957
4277,1005781,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,8719,TEST_3,PUBBLICAZIONE DATO NON AUTORIZZATA,3,3,8760,110,_,"ISOLE DELLA LAGUNA (ESCLUSO CENTRO STORICO, GIUDECCA, ISOLE DEDICATE IN VIA PRINCIPALE ALLA FUNZIONE RICETTIVA E ALBERGHI A 5 STELLE)",20,STRUTTURE RICETTIVE ALBERGHIERE,ALBERGHI-ALBERGHI DIFFUSI,4,S,4 STELLE,"GIUDECCA (BURANO),110",8760,10175,270421637,0270425032,6,1,2,PUBBLICAZIONE DATO NON AUTORIZZATA,6700,12.4158429236538,45.4849327074373
4134,1015218,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1015287,HOTEL GRIFONI,PUBBLICAZIONE DATO NON AUTORIZZATA,9,21,16210,2603,A,CENTRO STORICO,0,STRUTTURE RICETTIVE ALBERGHIERE,ALBERGHI-ALBERGHI DIFFUSI,1,S,1 STELLA,"SAN POLO,2603/A",16210,73840,270420855,0270425013,2,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,9889,12.3280209723858,45.4371959463425
