FID,INDIRIZZO,Name,ADDRESS
210,"CANNAREGIO,6004",MIRACOLI,CN6004
211,"CANNAREGIO,6004",BRAGOZZO AI MIRACOLI,CN6004
212,"CANNAREGIO,1373/A",VIVALDI SUITES APARTMENT 1 E SUITE,CN1373A
213,"CANNAREGIO,1373/A",DIMORA APARTEMENT VENEZIA,CN1373A
214,"CANNAREGIO,1373/A",VVIVALDI SUITES APARTMENT 3,CN1373A
215,"CANNAREGIO,1000/A",MELLINA'S TERRACE,CN1000A
216,"CANNAREGIO,5765",RIALTO,CN5765
217,"CASTELLO,3195",CA PIERRE,CA3195
218,"CASTELLO,3300",RESIDENZA COLOMBINA,CA3300
219,"CANNAREGIO,3734/B",APA SILVIA,CN3734B
220,"CASTELLO,3809",CADELDOSEMORO,CA3809
221,"CASTELLO,3809",LA TERRAZZA DI MARZIA,CA3809
223,"CANNAREGIO,4284/B",GRAN CANAL DIAMOND,CN4284B
224,"CANNAREGIO,4284/B",RIALTO MERCATO,CN4284B
225,"CANNAREGIO,4284/B",FRIARI SUITE,CN4284B
226,"CASTELLO,2366",CASTELLO 2366,CA2366
229,"CASTELLO,1942",RESIDENZA CONTARINA M02704210455,CA1942
231,"CANNAREGIO,3138",VILLA MARGHERITA APP N 2 PRIMO PIANO DESTRA (1 CAMERA ),CN3138
232,"CANNAREGIO,3138",VILLA MARGHERITA APP N 3 PRIMO PIANO SINISTRA (3 CAMERE),CN3138
233,"CANNAREGIO,3138",PALAZZO MARGHERITA 2,CN3138
234,"CANNAREGIO,3138",PALAZZO MARGHERITA 1,CN3138
235,"CASTELLO,2012",CALLE DEI PRETI,CA2012
237,"CANNAREGIO,5885/A",PENTIMALLI 1,CN5885A
238,"CANNAREGIO,5885/A",PENTIMALLI 2,CN5885A
240,"CANNAREGIO,3202/A",VIVERE VENEZIA DA VENEZIANO,CN3202A
241,"CANNAREGIO,2626",CANNAREGIO 2626,CN2626
242,"CANNAREGIO,2626",CA' MISERICORDIA,CN2626
243,"CANNAREGIO,2626",LOFT WITH GREAT GARDEN IN CANNAREGIO,CN2626
244,"CANNAREGIO,2626",AVENEZIA6,CN2626
245,"CASTELLO,2098",GIOIELLO DI VENEZIA SUITE CALLE DEL FORNO,CA2098
249,"CANNAREGIO,4576",CA' PATRON,CN4576
250,"CANNAREGIO,3185",CA' DEI MORI,CN3185
251,"CANNAREGIO,3679",SUITE SAN FELICE,CN3679
252,"CASTELLO,3466",CASA AI GRECI,CA3466
253,"CASTELLO,1685",CA' DELL'ARTISTA,CA1685
255,"CANNAREGIO,1396",A CASA DI LAURA,CN1396
257,"CASTELLO,3440",CASE VENEZIA 21,CA3440
262,"CANNAREGIO,5471",NABUCCO,CN5471
263,"CANNAREGIO,1479",TYPICAL,CN1479
266,"CANNAREGIO,2533",KUDOYAROV ANDREY,CN2533
267,"CANNAREGIO,1039",DREAM SUITES,CN1039
268,"CASTELLO,1889",CURTOLO GINA1,CA1889
269,"CASTELLO,3382",LION PALACE JUNIOR SUITE,CA3382
270,"CASTELLO,3382",LION PALACE DELUXE R&R,CA3382
271,"CASTELLO,1691",GIOVANNI BELLESIA,CA1691
272,"CANNAREGIO,6361",CA MODERNA 2,CN6361
273,"CANNAREGIO,2964/A",CASA ALIMANTE,CN2964A
274,"CANNAREGIO,2026",CA'DERAI,CN2026
275,"CANNAREGIO,2026",CA'DERAI 2,CN2026
276,"CASTELLO,1742",RESIDENZA DONDEL,CA1742
277,"CANNAREGIO,2034",ALLE BIFORE,CN2034
278,"CASTELLO,2032",CÀ ZORZI,CA2032
280,"CANNAREGIO,3120",LOCAZIONE BREVE ORMESINI,CN3120
282,"VIA NICOLO' TRON,9",VILLA TRON,X_VIA NICOLO' TRON9
283,"SAN MARCO,4827",SAN SALVATORE,SM4827
284,"CANNAREGIO,4756",STEFANO'S SWEET HOME,CN4756
286,"CASTELLO,4863/A",PIAVE3,CA4863A
287,"CASTELLO,3478",CA' ANTONIN,CA3478
288,"CASTELLO,3478",CAPITAN ANTONIN,CA3478
290,"CANNAREGIO,4136",LA CAVANA,CN4136
291,"CANNAREGIO,3965",CÀ BATTAGIA,CN3965
292,"CASTELLO,1023",PETRIN,CA1023
293,"CASTELLO,6029",CARABBA SUITE,CA6029
295,"SANTA CROCE,1849",PAVONI,SC1849
296,"DORSODURO,2217/A",DORSODURO2217A,DD2217A
297,"CANNAREGIO,2952/B",NATI'S HOUSE,CN2952B
298,"CANNAREGIO,440/D",GUGLIE440,CN440D
299,"CASTELLO,1325",CA' BETTINA,CA1325
300,"CASTELLO,1325",ALLOGGIO TURISTICO DA  MORETTI GINEVRA,CA1325
301,"SAN POLO,1497",FURATOLA,SP1497
302,"CANNAREGIO,3801","LO'VING IN VENICE, 5 STARS",CN3801
306,"CASTELLO,2637/A",APPARTAMENTO TURISTICO 2,CA2637A
307,"CANNAREGIO,2705",VENICE DREAM - COZY APARTMENT,CN2705
311,"CANNAREGIO,6018",MIRACOLI TERRACE,CN6018
312,"CASTELLO,2375",CASETTA BIENNALE ARSENALE,CA2375
313,"CANNAREGIO,4747",MALIPIERO,CN4747
317,"CASTELLO,479",CA' RIELLO,CA479
318,"DORSODURO,544",PEGGY GUGGENHEIM COLLECTION APARTMENT,DD544
319,"SAN MARCO,474",SPECCHIERI 2,SM474
320,"CASTELLO,284",SANJA,CA284
321,"PELLESTRINA,1045",DIMORA ZAIRA,X_PELLESTRINA1045
322,"CASTELLO,5141",VE-NICE SUITE FORMOSA C5141,CA5141
323,"DORSODURO,1300",PONTE SQUERO,DD1300
324,"SAN POLO,1480",SAN POLO 1480,SP1480
326,"CANNAREGIO,2704/A",CORTELLINA,CN2704A
327,"CASTELLO,365",BIENNALE DREAM,CA365
328,"CASTELLO,3162",CELESTAI,CA3162
329,"DORSODURO,3572",CASA NOBILE,DD3572
330,"CASTELLO,806",GDHOUSE 806,CA806
331,"VIA GALLIPOLI,15",CA' ARIVANLIAL,X_VIA GALLIPOLI15
332,"GIUDECCA (VENEZIA),604/C",L.T.M0270428392,GD604C
334,"CANNAREGIO,2481",RESIDENZA AI MARZIALI M02704210225,CN2481
336,"TERRANOVA (BURANO),17",RED PARADISE,X_TERRANOVA (BURANO)17
337,"SAN POLO,1512/C",CA' SANT'APONAL,SP1512C
338,"CANNAREGIO,5097",LAGUNA 5097,CN5097
339,"CANNAREGIO,285",GEREMIA 2,CN285
340,"CANNAREGIO,285",GEREMIA 1,CN285
341,"CANNAREGIO,2685",HAUS ORMESINI,CN2685
342,"CANNAREGIO,2685",VANESSA,CN2685
343,"CANNAREGIO,2685",CASA DIANA,CN2685
344,"CANNAREGIO,385/B",APPARTAMENTO LOCAZIONE TURISTICA,CN385B
345,"CANNAREGIO,5508",THE ZEN HOUSE APARTMENT,CN5508
346,"CANNAREGIO,5508",LUXURY PENTHOUSE CR2,CN5508
347,"CANNAREGIO,5508",APPARTAMENTO CORTE MIRACOLI,CN5508
348,"SANTA CROCE,1933",CHIARA HOUSE,SC1933
350,"RIVA GIO E VINDELINO DA SPIRA,5",CASA LAGUNA VENEZIA,X_RIVA GIO E VINDELINO DA SPIRA5
351,"VIA MARCANTONIO BRAGADIN,14/A",CA BRAGADIN,X_VIA MARCANTONIO BRAGADIN14A
358,"VIA DE LE MOTTE,64",LA CAMPAGNA A VENEZIA,X_VIA DE LE MOTTE64
361,"CASTELLO,1426",ELEGANT APARTMENT 1,CA1426
362,"CASTELLO,1426",ELEGANT APT 3,CA1426
363,"CANNAREGIO,5404/A",APPARTAMENTO WIDMANN,CN5404A
364,"CANNAREGIO,5404/A",U.A.A. REZZADORE A,CN5404A
365,"CASTELLO,1749",GIO IN VENICE,CA1749
366,"CANNAREGIO,4336",IRENE DOTTA,CN4336
367,"CANNAREGIO,5336",MANSARDA LUMINOSA,CN5336
368,"CANNAREGIO,5336",BELLENZIER PAOLA,CN5336
369,"CANNAREGIO,5045/G",VIANELLO2,CN5045G
370,"CASTELLO,1225",APPARTAMENTO,CA1225
371,"CASTELLO,3658",BISANZIO RESIDENZA,CA3658
374,"CASTELLO,1983",APPARTAMENTO CALLE DEI PRETI,CA1983
375,"CASTELLO,1983",ARSENALE,CA1983
376,"CANNAREGIO,1859",TEATRO ITALIA,CN1859
377,"CANNAREGIO,1859",CA DEL DOGE BO,CN1859
379,"CASTELLO,1436",APT 8,CA1436
380,"CANNAREGIO,718",APPARTAMENTO SISDY,CN718
382,"CANNAREGIO,6354/A",PIELLUCCI SILVANA,CN6354A
383,"CASTELLO,1239",MARAI REGINA,CA1239
384,"VIALE QUATTRO NOVEMBRE,19",CASA BRUVER BIENNALE VENEZIA,X_VIALE QUATTRO NOVEMBRE19
385,"VIA MARCANTONIO BRAGADIN,24/A",TOMMASO SIMIO,X_VIA MARCANTONIO BRAGADIN24A
392,"SANTA CROCE,567/C",VENETIAN PALACE BLUE APARTMENT R&R,SC567C
393,"SANTA CROCE,567/C",VENETIAN PALACE MAUVE/COZY APARTMENT,SC567C
394,"CASTELLO,41/B",DAMA MOLINA S.R.L. INT. 2,CA41B
395,"SAN MARCO,2561",DOMUS SUPERIOR 2,SM2561
396,"SAN MARCO,2561",CA' MARIA CALLAS,SM2561
397,"CANNAREGIO,2886",GIARDINO DEI MELOGRANI 1,CN2886
398,"CANNAREGIO,6211",CA' GALLINA,CN6211
399,"CANNAREGIO,2949/C",CA TINTOR,CN2949C
400,"CASTELLO,1426",ELEGANT APARTMENT 2,CA1426
401,"CANNAREGIO,5360/A",CANNAREGIO 5360/A,CN5360A
402,"SAN MARCO,3870",LYDIA GRONDIN GIRAUDET,SM3870
405,"SAN MARCO,1621",CA' FILIPPA 1,SM1621
407,"CANNAREGIO,4832",CA CORTE NOVA,CN4832
408,"CANNAREGIO,5994",5994 P1,CN5994
409,"CASTELLO,2751/A",APPARTAMENTO02,CA2751A
410,"VIA CRISTOFORO COLOMBO,6",APPARTAMENTO VIA COLOMBO,X_VIA CRISTOFORO COLOMBO6
411,"SAN POLO,2986/B",CA'BADOER,SP2986B
412,"SAN POLO,2107",SAN POLO FLAT,SP2107
413,"CASTELLO,6660/C",APPARTAMENTO SANDRO,CA6660C
414,"CASTELLO,1440",CÀ COLONNE,CA1440
415,"CASTELLO,382/B",1 LOFT,CA382B
416,"CANNAREGIO,5470",CA' FURLY,CN5470
417,"CANNAREGIO,5460",443 VARISCO,CN5460
418,"CASTELLO,2286",ALBERTO PASINATO,CA2286
420,"PELLESTRINA,58",CASA VIANELLO BUSETTO,X_PELLESTRINA58
421,"SAN MARCO,5502",CORTE DELL' ORSO PICCOLO,SM5502
422,"CANNAREGIO,3951",CA' D'ORO,CN3951
427,"VIA MARCANTONIO BRAGADIN,14/A",ZANETTO TERESA,X_VIA MARCANTONIO BRAGADIN14A
429,"CANNAREGIO,1217",027042-LOC-11525,CN1217
430,"CANNAREGIO,1217",CA FRANCESCO 2,CN1217
432,"CASTELLO,337/B",SAN PIETRO COZY STUDIO R&R,CA337B
433,"CANNAREGIO,96/R",DUPLEX 2,CN96R
434,"CANNAREGIO,96/R",PRIULI 19,CN96R
435,"CANNAREGIO,4931",DAVIDE DONI,CN4931
436,"CANNAREGIO,3493/A",MADONNADELLORTO,CN3493A
437,"CASTELLO,334",CASA RUGA,CA334
438,"CANNAREGIO,3026/Q",FORNACE LOFT WITH DEPENDANCE R&R,CN3026Q
439,"CANNAREGIO,2423",CASA SANTA FOSCA,CN2423
440,"CANNAREGIO,772",CASA MASA,CN772
441,"CANNAREGIO,5444",CA MORANDI,CN5444
442,"CANNAREGIO,3623",CÀ DE GRANDIS,CN3623
445,"GRANVIALE SANTA MARIA ELISABETTA,2",LIDO CENTRAL,X_GRANVIALE SANTA MARIA ELISABETTA2
451,"GRANVIALE SANTA MARIA ELISABETTA,83",PETRIS,X_GRANVIALE SANTA MARIA ELISABETTA83
456,"VIA ANTONIO CANAL,5",MARANO,X_VIA ANTONIO CANAL5
457,"VIA LORENZO MARCELLO,7",CASA RACCANELLI,X_VIA LORENZO MARCELLO7
460,"FONDAMENTA BEATA GIULIANA,32",IMMOBILE,X_FONDAMENTA BEATA GIULIANA32
465,"CASTELLO,224",CALLE AL PONTE SANT'ANNA,CA224
466,"CASTELLO,3519",CASA QUERINI,CA3519
468,"CANNAREGIO,5393",CÀ WIDMANN,CN5393
469,"CANNAREGIO,2666/B",CA' MELISSA,CN2666B
470,"CANNAREGIO,3872",APPARTAMENTO PAOLA CA' D'ORO,CN3872
472,"CANNAREGIO,6349",CASA VESCOVO M02704210230,CN6349
473,"DORSODURO,285",CA' SPIRITO SANTO,DD285
486,"SANTA CROCE,118/D",WHITE FLOWERS,SC118D
487,"SAN POLO,2125",SAN POLO LUXURY SUITES,SP2125
488,"CASTELLO,5384",APPARTAMENTO CASANOVA,CA5384
490,"SAN POLO,702",CÀ PARADISO,SP702
498,"CASTELLO,3727",SALIERI ATTIC,CA3727
500,"CANNAREGIO,5214",FONDAMENTE 3,CN5214
501,"CASTELLO,2198",CA DOLCE VITA,CA2198
503,"CANNAREGIO,3613/C",CA' FERRARI,CN3613C
504,"CANNAREGIO,2496/A",VERDI,CN2496A
506,"CASTELLO,2340",CA SPADA,CA2340
507,"CASTELLO,2340",RENATO HOUSE,CA2340
508,"CANNAREGIO,4431",PALAZZO SORANZO,CN4431
509,"CANNAREGIO,3047",CASA CARLA,CN3047
510,"CASTELLO,1049",BARBIERI GIULIO,CA1049
511,"CANNAREGIO,440/G",CA ZIZA,CN440G
512,"CANNAREGIO,4682",RIALTO DESIGN BOUTIQUE APARTMENT R&R,CN4682
513,"CANNAREGIO,4921",HOLIDAY NO STRESS ZEN APARTMENT,CN4921
514,"CANNAREGIO,4253",CA' DEL FOTOGRAFO,CN4253
515,"CANNAREGIO,5406/A",CA' DI LUNA,CN5406A
517,"CASTELLO,445",CA' D'ELISA (CASTELLO),CA445
518,"CANNAREGIO,3527/A",Z18559,CN3527A
519,"CANNAREGIO,417",VENICE SUITE CANNAREGIO,CN417
520,"CANNAREGIO,3841",STRADA NUOVA,CN3841
521,"CANNAREGIO,3143",WHITE GEM,CN3143
522,"CASTELLO,2321",BIENNALE TERRACE,CA2321
523,"CASTELLO,2321",ANNALAURA 2,CA2321
524,"CASTELLO,2430",CA PENINI,CA2430
526,"VIA ISTRIA,7",DALMAZIA,X_VIA ISTRIA7
529,"VIA SANDRO GALLO,53",VILLA FIOCARDI,X_VIA SANDRO GALLO53
530,"CANNAREGIO,88",CA DEI CAVALLETTI 1,CN88
531,"CANNAREGIO,3435",CANALETTO CANNAREGIO INTERNO 2,CN3435
532,"CANNAREGIO,3435",CANALETTO CANNAREGIO,CN3435
533,"CANNAREGIO,5380",TURISTICA TAMBURINI,CN5380
534,"CASTELLO,314/A",CAMPO RUGA 314,CA314A
535,"VIA GALLIPOLI,22",COTTAGE AL MARE MARTINA,X_VIA GALLIPOLI22
537,"CANNAREGIO,2668/B",CA' DELLA SENSA,CN2668B
538,"CANNAREGIO,2668/B",CALLE DEL FORNO APARTMENT,CN2668B
539,"CASTELLO,3289",DIMORA FURLANI PIANO TERRA,CA3289
540,"CASTELLO,3289",DIMORA FURLANI,CA3289
541,"CANNAREGIO,1822",CASA ANCONETA,CN1822
542,"CANNAREGIO,1690",CA' ERMAGORA,CN1690
543,"CANNAREGIO,1690",CA' DEL VESCOVO,CN1690
545,"CASTELLO,1980",APPARTAMENTO CANTON,CA1980
546,"CANNAREGIO,967",TRE ARCHI,CN967
547,"CANNAREGIO,4392",PALAZZO SMITH VALMARANA,CN4392
548,"CANNAREGIO,4392",PALAZZO SMITH,CN4392
549,"CANNAREGIO,749",CALLE DELLA CERERIA 749,CN749
550,"CANNAREGIO,965/A",ROYALGUESTHOUSEVENICE,CN965A
551,"CASTELLO,1781",DURAZZANO,CA1781
552,"CANNAREGIO,4343",SUITE HOUSE 3,CN4343
553,"CANNAREGIO,4549",CANNAREGIO 4549,CN4549
554,"VIA MALAMOCCO,97/L",VILLAMAMAELI,X_VIA MALAMOCCO97L
556,"CASTELLO,2127",LA TANA,CA2127
557,"CANNAREGIO,4022",DADA APARTMENT,CN4022
558,"CASTELLO,1459",SOGNO VENEZIANO,CA1459
559,"CANNAREGIO,2393",LOC.TUR.CANNAREGIO,CN2393
560,"CASTELLO,3684/A",CAORLINA,CA3684A
